sentiment,sentiment:confidence,date,year,month,day,text
Positive,0.6264,2014-12-01 19:30:03+00:00,2014,12,1,#AAPL:The 10 best Steve Jobs emails ever...http://t.co/82G1kL94tx
Positive,0.8129,2014-12-01 19:43:51+00:00,2014,12,1,"RT @JPDesloges: Why AAPL Stock Had a Mini-Flash Crash Today $AAPL #aapl
http://t.co/hGFcjYa0E9"
Positive,1.0,2014-12-01 19:50:28+00:00,2014,12,1,My cat only chews @apple cords. Such an #AppleSnob.
Positive,0.5848,2014-12-01 20:26:34+00:00,2014,12,1,"I agree with @jimcramer that the #IndividualInvestor should own not trade #Apple #AAPL, it's extended so today's pullback is good to see"
Positive,0.6474,2014-12-01 20:29:33+00:00,2014,12,1,Nobody expects the Spanish Inquisition #AAPL
Positive,0.5975,2014-12-01 20:30:03+00:00,2014,12,1,#AAPL:5 Rocket Stocks to Buy for December Gains: Apple and More...http://t.co/eG5XhXdLLS
Neutral,0.8468,2014-12-01 20:32:45+00:00,2014,12,1,Top 3 all @Apple #tablets. Damn right! http://t.co/RJiGn2JUuB
Neutral,0.6736,2014-12-01 20:34:31+00:00,2014,12,1,CNBCTV: #Apple's margins better than expected? #aapl http://t.co/7geVrtOGLK
Positive,0.7997,2014-12-01 20:36:47+00:00,2014,12,1,Apple Inc. Flash Crash: What You Need to Know http://t.co/YJIgtifdAj #AAPL
Positive,0.636,2014-12-01 20:45:03+00:00,2014,12,1,#AAPL:This Presentation Shows What Makes The World's Biggest Tech Companies ...http://t.co/qlH9PqSoSd
Negative,1.0,2014-12-01 20:46:01+00:00,2014,12,1,WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple
Positive,0.6658,2014-12-01 20:47:12+00:00,2014,12,1,Apple Watch Tops Search Engine List of Best Wearable Tech http://t.co/LTEzJzqqF8 #AAPL #iWatch #AppleWatch
Positive,0.8381,2014-12-01 21:00:15+00:00,2014,12,1,"The Best-Designed #iPhone #Apps In the World, According to @apple: http://t.co/Razqvpxofg http://t.co/ev7uKWiEcz"
Neutral,1.0,2014-12-01 21:03:32+00:00,2014,12,1,RT @peterpham: Bought my @AugustSmartLock at the @apple store..pretty good logo match . can't wait to install it! http://t.co/z8VKMhbnR3
Negative,1.0,2014-12-01 21:09:50+00:00,2014,12,1,@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync
Positive,0.4798,2014-12-01 21:29:45+00:00,2014,12,1,#aapl @applenws Thanks to the non factual dumb Twitter followers stock drops 3 points in one minute. Thanks dummies. #rumors
Negative,0.9399,2014-12-01 21:35:14+00:00,2014,12,1,WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK
Positive,0.6621,2014-12-01 21:53:12+00:00,2014,12,1,@apple- thanks for xtra checkin at upper westside store- but why are appointments running almost 50 minutes late?
Positive,1.0,2014-12-01 22:22:09+00:00,2014,12,1,Why #AAPL Stock Had a Mini-Flash Crash Today: Money Morning: Nothing the analysts suggested would make a widel... http://t.co/jFGsSy2Ei3
Positive,0.7244,2014-12-01 23:12:40+00:00,2014,12,1,The JH Hines Staff with their newly issued @apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH
Positive,0.6552,2014-12-01 23:43:14+00:00,2014,12,1,@robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles
Negative,1.0,2014-12-01 23:55:55+00:00,2014,12,1,"@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc"
Negative,0.8928,2014-12-02 00:06:05+00:00,2014,12,2,i get the storage almost full notification literally every 5 minutes chill @apple
Negative,0.8558,2014-12-02 00:14:25+00:00,2014,12,2,I had to do made the #switch from iPhone 6 to the galaxy note edge. @apple keep up http://t.co/1Vve1htP0n
Negative,0.8701,2014-12-02 00:15:11+00:00,2014,12,2,@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle
Positive,0.7244,2014-12-02 00:15:14+00:00,2014,12,2,Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Neutral,0.5724,2014-12-02 00:15:16+00:00,2014,12,2,Latest Apple Products Leading in Efficiency http://t.co/KHeNlVT1FJ @apple #iPhone #iPad #plugloads
Positive,1.0,2014-12-02 00:15:26+00:00,2014,12,2,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Positive,0.7179,2014-12-02 00:16:03+00:00,2014,12,2,Good be huge RT @thehill Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/QmLBuvG6Xz
Positive,1.0,2014-12-02 00:16:04+00:00,2014,12,2,@thehill @Apple i cite the 4th amendment as a retort
Positive,0.6604,2014-12-02 00:16:27+00:00,2014,12,2,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Neutral,1.0,2014-12-02 00:17:02+00:00,2014,12,2,RT @saxonidubom: @rwang0 @Apple Thanks...thinking of upgrading.
Positive,0.6515,2014-12-02 00:18:59+00:00,2014,12,2,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Positive,1.0,2014-12-02 00:22:26+00:00,2014,12,2,Way to stay relevant RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/mptcggWZO1
Positive,1.0,2014-12-02 00:22:31+00:00,2014,12,2,Apple Inc. Flash Crash: What You Need to Know http://t.co/Ko9PT6yuMV #AAPL
Positive,1.0,2014-12-02 00:23:47+00:00,2014,12,2,"http://t.co/hpC7p1rHvA
need help on using your #Apple #iPhone6 &amp; #iPhone6Plus ? #checkitout
@applenws @apple http://t.co/K3fQHPazMc"
Positive,1.0,2014-12-02 00:24:26+00:00,2014,12,2,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Negative,0.4673,2014-12-02 00:24:47+00:00,2014,12,2,That flash crash really screwed with a lot of traders today. Not me. Im more determined than ever to make trading work for me #AAPL
Positive,1.0,2014-12-02 00:25:38+00:00,2014,12,2,RT @tra_hall: The JH Hines Staff with their newly issued @Apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH #txed
Negative,0.7453,2014-12-02 00:27:23+00:00,2014,12,2,Nigga update yall headphones @Apple
Positive,1.0,2014-12-02 00:27:36+00:00,2014,12,2,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Negative,0.665,2014-12-02 00:28:38+00:00,2014,12,2,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Negative,1.0,2014-12-02 00:29:58+00:00,2014,12,2,"Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted."
Positive,1.0,2014-12-02 00:31:26+00:00,2014,12,2,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Negative,0.501,2014-12-02 00:32:42+00:00,2014,12,2,@thehill @Apple I cite the us constitution where judges cannot pass laws! Violation of the separation of powers
Negative,1.0,2014-12-02 00:34:51+00:00,2014,12,2,@apple U need to get ur fucking shit together and let me txt while on YouTube
Negative,0.6672,2014-12-02 00:38:41+00:00,2014,12,2,@thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure
Positive,1.0,2014-12-02 00:39:47+00:00,2014,12,2,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Positive,0.6868,2014-12-02 00:39:51+00:00,2014,12,2,@thehill @Apple Furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the US gov.
Negative,0.6656,2014-12-02 00:45:03+00:00,2014,12,2,#AAPL:Here's why Apple dropped...http://t.co/qVpNCJv1pb
Positive,0.7408,2014-12-02 00:45:22+00:00,2014,12,2,This one chart explains @tim_cook's affect on @Apple. Paints an interesting story. What do you think? http://t.co/7cBY6jL5Pn
Positive,1.0,2014-12-02 00:47:23+00:00,2014,12,2,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Positive,1.0,2014-12-02 00:47:46+00:00,2014,12,2,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Positive,0.732,2014-12-02 00:51:10+00:00,2014,12,2,"Final #AAPL #PutCallRatios for Monday, December 1, 2014 http://t.co/EVJC0tNGPJ"
Positive,0.7177,2014-12-02 00:53:22+00:00,2014,12,2,#AAPL Launches Red #Apple Logo for World AIDS Day: Dec. 1 is World AIDS Day and the red Apple logo will be abl... http://t.co/crc6VpIELd
Negative,1.0,2014-12-02 00:53:58+00:00,2014,12,2,hey @apple fuck you
Positive,0.6788,2014-12-02 00:54:31+00:00,2014,12,2,5 Companies Growing Faster Than Apple Inc. http://t.co/PgCG4CkJK9 #AAPL
Negative,1.0,2014-12-02 00:56:11+00:00,2014,12,2,@apple why doesn't your people explain precautions when buying an expensive laptop
Positive,1.0,2014-12-02 00:56:43+00:00,2014,12,2,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Positive,0.6731,2014-12-02 00:59:49+00:00,2014,12,2,@Quailman_ @Apple u was bored huh
Positive,1.0,2014-12-02 01:04:41+00:00,2014,12,2,RT @wagner_tim: @robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles
Negative,1.0,2014-12-02 01:05:37+00:00,2014,12,2,"As a die hard @Apple customer, I must say I am truly displeased with the customer service I was given today. #badservice #Apple"
Negative,1.0,2014-12-02 01:06:42+00:00,2014,12,2,@Apple made it clear today that I as a customer are not worth a measly $79!! An employee gave mis info and they will not stand behind it
Positive,0.7011,2014-12-02 01:06:58+00:00,2014,12,2,INSPI(RED) by @Apple and @tim_cook on #WorldAIDSDAY. 100% of #AppsforRED in @AppStore go to fight AIDs. Get @Farmville2 and @CSRRacing @RED
Positive,0.7321,2014-12-02 01:07:53+00:00,2014,12,2,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Positive,1.0,2014-12-02 01:09:53+00:00,2014,12,2,16GB @Apple #iPad Air 2 Retina WiFi Tablet $400 + Free Shipping via #EBAY http://t.co/TrkYuoYew7 #CyberMonday #firstworldproblems
